titolo,autore,editore
"Macerie prime","MicheleRech Zerocalcare","Bao Publishing"
"Il Signore degli Anelli: La compagnia dell'anello. Le due torri. Il ritorno del re","John Ronald ReuelTolkien",Bompiani
"Lo Hobbit","John Ronald ReuelTolkien",Bompiani
"Una storia tra due città",CharlesDickens,Bompiani
"Il libretto rosso",Tse-tungMao,"Edizioni Clandestine"
"Don Chisciotte della Mancha","Miguelde Cervantes",Einaudi
"Il giovane Holden","J. D.Salinger",Einaudi
"Il sogno della camera rossa. Romanzo cinese del XVIII secolo",TsaoChan,Einaudi
"Quel che resta del giorno",KazuoIshiguro,Einaudi
"Alchimista (L')",PauloCoelho,Mondadori
"Cinquanta sfumature di grigio","E. L.James",Mondadori
"Dieci piccoli indiani",AgathaChristie,Mondadori
"Il Codice da Vinci",DanBrown,Mondadori
"Il leone la strega e l'armadio","Clive StaplesLewis",Mondadori
"Il Piccolo Principe","Antoinede Saint-Exup?ry",Mondadori
"La colonna di fuoco",KenFollett,Mondadori
"La donna della domenica",CarloFruttero,Mondadori
"La donna della domenica",FrancoLucentini,Mondadori
Origin,DanBrown,Mondadori
"Harry Potter e la Pietra Filosofale","J. K.Rowling",Salani
Marcovaldo,ItaloCalvino,Sellerio
"Un mese con Montalbano",AndreaCamilleri,Sellerio
IT,StephenKing,"Sperling & Kupfer"
